article_title,entity,entity_type
Tesla Struggles to Keep Pace with BYD in Europe - Supply Chain Brain,Keep Pace,FAC
Tesla Struggles to Keep Pace with BYD in Europe - Supply Chain Brain,Keep Pace,FAC
DHL Supply Chain integrates Tesla Semi into California fleet - electrive.com,California,GPE
DHL Supply Chain integrates Tesla Semi into California fleet - electrive.com,California,GPE
DHL adds Tesla Semi to California fleet - Trucking Dive,California,GPE
DHL adds Tesla Semi to California fleet - Trucking Dive,California,GPE
Ready for a Greener Future? DHL Chooses Tesla Semi for Sustainable Logistics in California - DC Velocity,California,GPE
Ready for a Greener Future? DHL Chooses Tesla Semi for Sustainable Logistics in California - DC Velocity,California DC,GPE
"Tesla accelerating shift away from China-made components, WSJ reports - CBT News",China,GPE
"Tesla accelerating shift away from China-made components, WSJ reports - CBT News",China,GPE
Tesla requires US supply chains to strip out China-made components – report - Just Auto,China,GPE
Tesla requires US supply chains to strip out China-made components – report - Just Auto,China,GPE
"Tesla says it values China suppliers, does not exclude any by origin - Reuters",China,GPE
"Tesla says it values China suppliers, does not exclude any by origin - Reuters",China,GPE
"Tesla requires suppliers to avoid China-made parts for US cars, WSJ reports - Reuters",China,GPE
"Tesla requires suppliers to avoid China-made parts for US cars, WSJ reports - Reuters",China,GPE
Tesla pushing suppliers to cut all China-made parts for US cars - Electrek,China,GPE
Tesla pushing suppliers to cut all China-made parts for US cars - Electrek,China,GPE
Tesla's robotics ambitions rest on the knife-edge of US-China trade relations due to its supply chain — the majority of critical materials and suppliers are located in China - Tom's Hardware,China,GPE
Tesla's robotics ambitions rest on the knife-edge of US-China trade relations due to its supply chain — the majority of critical materials and suppliers are located in China - Tom's Hardware,China,GPE
Tesla's robotics ambitions rest on the knife-edge of US-China trade relations due to its supply chain — the majority of critical materials and suppliers are located in China - Tom's Hardware,China,GPE
Tesla's robotics ambitions rest on the knife-edge of US-China trade relations due to its supply chain — the majority of critical materials and suppliers are located in China - Tom's Hardware,China,GPE
Tesla Stock Jumps After China VP Torches ‘China-Free’ Supply Chain Rumors — Boasts Shanghai Cranks Out The World’s Cheapest Model 3 And Y - Stocktwits,China,GPE
Tesla Stock Jumps After China VP Torches ‘China-Free’ Supply Chain Rumors — Boasts Shanghai Cranks Out The World’s Cheapest Model 3 And Y - Stocktwits,China,GPE
Tesla moves to eliminate China-sourced components in US vehicles - Interesting Engineering,China,GPE
Tesla moves to eliminate China-sourced components in US vehicles - Interesting Engineering,China,GPE
Tesla is quietly trying to build US cars with zero China-made parts - TechSpot,China,GPE
Tesla is quietly trying to build US cars with zero China-made parts - TechSpot,China,GPE
Analysis: Tesla Optimus production strategy tied to China's robotics supply chain - digitimes,China,GPE
Analysis: Tesla Optimus production strategy tied to China's robotics supply chain - digitimes,China,GPE
"Tesla, GM’s efforts to decouple from China test Korea’s supply chain readiness - Korea JoongAng Daily",China,GPE
"Tesla, GM’s efforts to decouple from China test Korea’s supply chain readiness - Korea JoongAng Daily",China,GPE
Tesla Set to Open India Showrooms in July With Made-in-China EVs - Supply Chain Brain,China,GPE
Tesla Set to Open India Showrooms in July With Made-in-China EVs - Supply Chain Brain,China,GPE
"Exclusive: Tesla signs $4.3 billion LGES battery deal, source says, reducing China reliance - Reuters",China,GPE
"Exclusive: Tesla signs $4.3 billion LGES battery deal, source says, reducing China reliance - Reuters",China,GPE
"Suppliers’ country of origin doesn’t constitute exclusion criterion, Tesla exec says, after report of firm excluding China-made components - Global Times",China,GPE
"Suppliers’ country of origin doesn’t constitute exclusion criterion, Tesla exec says, after report of firm excluding China-made components - Global Times",China,GPE
Tesla accused of misleading DC consumers about abuse in cobalt supply chain - Global Investigations Review,DC,GPE
Tesla accused of misleading DC consumers about abuse in cobalt supply chain - Global Investigations Review,DC,GPE
"Tesla, GM’s efforts to decouple from China test Korea’s supply chain readiness - Korea JoongAng Daily",Korea,GPE
"Tesla, GM’s efforts to decouple from China test Korea’s supply chain readiness - Korea JoongAng Daily",Korea,GPE
Cost and chaos continue to test resiliency of U.S. auto industry - CNBC,U.S,GPE
Cost and chaos continue to test resiliency of U.S. auto industry - CNBC,U.S,GPE
"US reveals Tesla battery deal with LG, lifting veil on supply chain - digitimes",US,GPE
"US reveals Tesla battery deal with LG, lifting veil on supply chain - digitimes",US,GPE
Tesla requires US supply chains to strip out China-made components – report - Just Auto,US,GPE
Tesla requires US supply chains to strip out China-made components – report - Just Auto,US,GPE
Tesla To Phase Out Chinese Made Parts For US Cars Within Two Years - CleanTechnica,US,GPE
Tesla To Phase Out Chinese Made Parts For US Cars Within Two Years - CleanTechnica,US,GPE
"Tesla requires suppliers to avoid China-made parts for US cars, WSJ reports - Reuters",US,GPE
"Tesla requires suppliers to avoid China-made parts for US cars, WSJ reports - Reuters",US,GPE
Tesla pushing suppliers to cut all China-made parts for US cars - Electrek,US,GPE
Tesla pushing suppliers to cut all China-made parts for US cars - Electrek,US,GPE
Tesla's robotics ambitions rest on the knife-edge of US-China trade relations due to its supply chain — the majority of critical materials and suppliers are located in China - Tom's Hardware,US,GPE
Tesla's robotics ambitions rest on the knife-edge of US-China trade relations due to its supply chain — the majority of critical materials and suppliers are located in China - Tom's Hardware,US,GPE
Tesla moves to eliminate China-sourced components in US vehicles - Interesting Engineering,US,GPE
Tesla moves to eliminate China-sourced components in US vehicles - Interesting Engineering,US,GPE
Tesla is quietly trying to build US cars with zero China-made parts - TechSpot,US,GPE
Tesla is quietly trying to build US cars with zero China-made parts - TechSpot,US,GPE
Tesla reportedly pushes Panasonic to speed up US battery production - Teslarati,US,GPE
Tesla reportedly pushes Panasonic to speed up US battery production - Teslarati,US,GPE
US tariffs likely to disrupt Tesla supply chains - electrive.com,US,GPE
US tariffs likely to disrupt Tesla supply chains - electrive.com,US,GPE
Tesla Struggles to Keep Pace with BYD in Europe - Supply Chain Brain,Europe,LOC
Tesla Struggles to Keep Pace with BYD in Europe - Supply Chain Brain,Europe,LOC
"Former Tesla supply chain leaders create Atomic, an AI inventory solution - TechCrunch",Atomic,ORG
"Former Tesla supply chain leaders create Atomic, an AI inventory solution - TechCrunch",Atomic,ORG
Tesla Struggles to Keep Pace with BYD in Europe - Supply Chain Brain,BYD,ORG
Tesla Struggles to Keep Pace with BYD in Europe - Supply Chain Brain,BYD,ORG
Tesla loses global EV manufacturing lead to BYD - Manufacturing Today,BYD,ORG
"Tesla, BYD & CATL: Solar Storage’s Supply Chain Challenge - Supply Chain Digital Magazine",BYD & CATL,ORG
"Tesla, BYD & CATL: Solar Storage’s Supply Chain Challenge - Supply Chain Digital Magazine",BYD & CATL,ORG
Tesla loses global EV manufacturing lead to BYD - Manufacturing Today,BYD Manufacturing,ORG
Tesla to Build Own Semiconductor Facility Amid Supply Chain Challenges - Intellectia AI,Build Own Semiconductor Facility,ORG
Tesla to Build Own Semiconductor Facility Amid Supply Chain Challenges - Intellectia AI,Build Own Semiconductor Facility,ORG
"How Tesla, Costco and Paramount are Shifting Supply Chains - Supply Chain Digital Magazine",Costco,ORG
"How Tesla, Costco and Paramount are Shifting Supply Chains - Supply Chain Digital Magazine",Costco,ORG
DHL Supply Chain deploys first Tesla Semi in net zero carbon push - FreightWaves,DHL Supply Chain,ORG
DHL Supply Chain deploys first Tesla Semi in net zero carbon push - FreightWaves,DHL Supply Chain,ORG
DHL Supply Chain integrates Tesla Semi into California fleet - electrive.com,DHL Supply Chain,ORG
"Report shows progress towards even cleaner EV supply chains, Tesla leads - Electrek",EV,ORG
"Report shows progress towards even cleaner EV supply chains, Tesla leads - Electrek",EV,ORG
"Forget about X, AI and robots—Tesla is quietly building a complete EV battery supply chain - Charged EVs",EV,ORG
"Forget about X, AI and robots—Tesla is quietly building a complete EV battery supply chain - Charged EVs",EV,ORG
Tesla loses global EV manufacturing lead to BYD - Manufacturing Today,EV,ORG
Tesla loses global EV manufacturing lead to BYD - Manufacturing Today,EV,ORG
What Tesla brand loyalty tells us about the EV market - S&P Global,EV,ORG
What Tesla brand loyalty tells us about the EV market - S&P Global,EV,ORG
Tesla Drops a Supply?Chain Bombshell That Could Reshape the EV Race - Yahoo Finance,EV Race,ORG
Tesla Explores Indian Semiconductor Suppliers to Strengthen Global Supply Chain - Assembly Magazine,Explores Indian Semiconductor Suppliers,ORG
Tesla Explores Indian Semiconductor Suppliers to Strengthen Global Supply Chain - Assembly Magazine,Explores Indian Semiconductor Suppliers,ORG
Ex–Stellantis CEO says Tesla may exit the car industry and may not exist in 10 years - Fortune,Ex–Stellantis,ORG
"Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles - firstonline.info",Ford,ORG
"Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles - firstonline.info",Ford,ORG
Tesla and GM try and shake off Chinese parts from supply chain - ArenaEV - ArenaEV,GM,ORG
Tesla and GM try and shake off Chinese parts from supply chain - ArenaEV - ArenaEV,GM,ORG
"Tesla, GM’s efforts to decouple from China test Korea’s supply chain readiness - Korea JoongAng Daily",GM,ORG
"Tesla, GM’s efforts to decouple from China test Korea’s supply chain readiness - Korea JoongAng Daily",GM,ORG
General Motors: Challenging Tesla in the US EV Market - Supply Chain Digital Magazine,General Motors,ORG
Tesla Explores Indian Semiconductor Suppliers to Strengthen Global Supply Chain - Assembly Magazine,Global Supply Chain Assembly,ORG
"US reveals Tesla battery deal with LG, lifting veil on supply chain - digitimes",LG,ORG
"US reveals Tesla battery deal with LG, lifting veil on supply chain - digitimes",LG,ORG
"Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles - firstonline.info",Mercedes,ORG
"Ford, Mercedes, Tesla, Volvo, and Volkswagen have the most sustainable supply chains for electric vehicles - firstonline.info",Mercedes,ORG
